from_label,to_label,value
B/Plasma Cells,B/Plasma Cells,0
Cholangiocytes,B/Plasma Cells,0.15
CV 1,B/Plasma Cells,0
CV 2,B/Plasma Cells,0
Endothelial Progenitor,B/Plasma Cells,0
Hepatocyte Progenitor,B/Plasma Cells,0
HSC/Fibroblasts,B/Plasma Cells,0.75
IZ 1,B/Plasma Cells,0
IZ 2,B/Plasma Cells,0
IZ 3,B/Plasma Cells,0
IZ 4,B/Plasma Cells,0
IZ 5,B/Plasma Cells,0
IZ 6,B/Plasma Cells,0
Kupffer Cells,B/Plasma Cells,0.25
LSEC Zone 1,B/Plasma Cells,0
LSEC Zone 2&3 1,B/Plasma Cells,0
LSEC Zone 2&3 2,B/Plasma Cells,0
LSEC Zone 2&3 3,B/Plasma Cells,0
Portal Endothelial,B/Plasma Cells,0.1
PP 1,B/Plasma Cells,0
PP 2,B/Plasma Cells,0
PP 3,B/Plasma Cells,0
PP 4,B/Plasma Cells,0
T/NK Cells,B/Plasma Cells,0.85
Cholangiocytes,Cholangiocytes,0
CV 1,Cholangiocytes,0
CV 2,Cholangiocytes,0
Endothelial Progenitor,Cholangiocytes,0
Hepatocyte Progenitor,Cholangiocytes,0
HSC/Fibroblasts,Cholangiocytes,0.9
IZ 1,Cholangiocytes,0
IZ 2,Cholangiocytes,0
IZ 3,Cholangiocytes,0
IZ 4,Cholangiocytes,0
IZ 5,Cholangiocytes,0
IZ 6,Cholangiocytes,0
Kupffer Cells,Cholangiocytes,0
LSEC Zone 1,Cholangiocytes,0
LSEC Zone 2&3 1,Cholangiocytes,0
LSEC Zone 2&3 2,Cholangiocytes,0
LSEC Zone 2&3 3,Cholangiocytes,0
Portal Endothelial,Cholangiocytes,0.05
PP 1,Cholangiocytes,0
PP 2,Cholangiocytes,0
PP 3,Cholangiocytes,0
PP 4,Cholangiocytes,0
T/NK Cells,Cholangiocytes,0
CV 1,CV 1,0
CV 2,CV 1,0
Endothelial Progenitor,CV 1,0
Hepatocyte Progenitor,CV 1,0
HSC/Fibroblasts,CV 1,0
