source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,source.ligand,target.receptor,ligand.pvalues,ligand.logFC,ligand.pct.1,ligand.pct.2,receptor.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2
Portal Endothelial,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.017444111012980844,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Endothelial Progenitor.ACVR1_BMPR2,3.2975239313654355e-54,0.6654435850465714,63.775510204081634,12.77533039647577,0.14289137291726112,0.09444395006421949,42.07650273224044,31.012658227848103
LSEC Zone 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.02148113075518304,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,0.2288513082798082,-0.17728495981712467,62.244897959183675,65.86538461538461,0.14289137291726112,0.09444395006421949,42.07650273224044,31.012658227848103
LSEC Zone 2&3 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.018814285671312388,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,7.941910740148475e-26,0.6754756691449327,72.07392197125256,33.55263157894737,0.14289137291726112,0.09444395006421949,42.07650273224044,31.012658227848103
LSEC Zone 2&3 2,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.038330933664093104,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Endothelial Progenitor.ACVR1_BMPR2,5.904066441495007e-48,1.105980209072444,90.09009009009009,42.65734265734265,0.14289137291726112,0.09444395006421949,42.07650273224044,31.012658227848103
LSEC Zone 2&3 3,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.032430158537759254,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Endothelial Progenitor.ACVR1_BMPR2,2.7922119240983317e-41,1.0055451845166596,86.55660377358491,32,0.14289137291726112,0.09444395006421949,42.07650273224044,31.012658227848103
Portal Endothelial,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.009311077036982808,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,3.2975239313654355e-54,0.6654435850465714,63.775510204081634,12.77533039647577,7.408620795143555e-4,0.3030571309328432,39.436619718309856,5.769230769230769
LSEC Zone 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.011494185560746448,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,0.2288513082798082,-0.17728495981712467,62.244897959183675,65.86538461538461,7.408620795143555e-4,0.3030571309328432,39.436619718309856,5.769230769230769
LSEC Zone 2&3 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.010050824111905648,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,7.941910740148475e-26,0.6754756691449327,72.07392197125256,33.55263157894737,7.408620795143555e-4,0.3030571309328432,39.436619718309856,5.769230769230769
LSEC Zone 2&3 2,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.02072359442293599,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,5.904066441495007e-48,1.105980209072444,90.09009009009009,42.65734265734265,7.408620795143555e-4,0.3030571309328432,39.436619718309856,5.769230769230769
LSEC Zone 2&3 3,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.017469700145055972,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,2.7922119240983317e-41,1.0055451845166596,86.55660377358491,32,7.408620795143555e-4,0.3030571309328432,39.436619718309856,5.769230769230769
