source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,source.ligand,target.receptor,ligand.pvalues,ligand.logFC,ligand.pct.1,ligand.pct.2,receptor.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2
T/NK Cells,Kupffer Cells,TGFB1,TGFbR1_R2,7.268475502838131e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Normal,T/NK Cells.TGFB1,Kupffer Cells.TGFbR1_R2,NA,NA,NA,NA,8.959487716287055e-13,0.27072574040399877,40.87048832271762,16.244239631336406
HSC/Fibroblasts,Kupffer Cells,TGFB1,TGFbR1_R2,0.0026114678039367623,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Normal,HSC/Fibroblasts.TGFB1,Kupffer Cells.TGFbR1_R2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,8.959487716287055e-13,0.27072574040399877,40.87048832271762,16.244239631336406
T/NK Cells,Cholangiocytes,TGFB1,TGFbR1_R2,0.0014552636280451134,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Normal,T/NK Cells.TGFB1,Cholangiocytes.TGFbR1_R2,NA,NA,NA,NA,1.0912838119004581e-6,0.4115933760336471,48.41269841269841,10.677083333333332
HSC/Fibroblasts,Cholangiocytes,TGFB1,TGFbR1_R2,0.005218696446354015,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,Normal,HSC/Fibroblasts.TGFB1,Cholangiocytes.TGFbR1_R2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.0912838119004581e-6,0.4115933760336471,48.41269841269841,10.677083333333332
T/NK Cells,Endothelial Progenitor,TGFB1,ACVR1B_TGFbR2,0.0016706612271120242,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,Endothelial Progenitor.ACVR1B_TGFbR2,NA,NA,NA,NA,1.2085281396183234e-7,0.36419002163390707,47.159090909090914,5.921052631578947
HSC/Fibroblasts,Endothelial Progenitor,TGFB1,ACVR1B_TGFbR2,0.005990837092429355,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,Endothelial Progenitor.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.2085281396183234e-7,0.36419002163390707,47.159090909090914,5.921052631578947
T/NK Cells,Portal Endothelial,TGFB1,ACVR1B_TGFbR2,0.0014526392532849296,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,Portal Endothelial.ACVR1B_TGFbR2,NA,NA,NA,NA,3.830808885285957e-20,0.28467863311138353,48.14814814814815,25.696864111498257
HSC/Fibroblasts,Portal Endothelial,TGFB1,ACVR1B_TGFbR2,0.005207827365787278,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,Portal Endothelial.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,3.830808885285957e-20,0.28467863311138353,48.14814814814815,25.696864111498257
T/NK Cells,LSEC Zone 1,TGFB1,ACVR1B_TGFbR2,0.0017016839632068364,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,LSEC Zone 1.ACVR1B_TGFbR2,NA,NA,NA,NA,1.779483918962793e-5,0.3295704657408422,55.963302752293586,31.428571428571427
HSC/Fibroblasts,LSEC Zone 1,TGFB1,ACVR1B_TGFbR2,0.006096137607113426,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,LSEC Zone 1.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.779483918962793e-5,0.3295704657408422,55.963302752293586,31.428571428571427
