source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,source.ligand,target.receptor,ligand.pvalues,ligand.logFC,ligand.pct.1,ligand.pct.2,receptor.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2
Portal Endothelial,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.03563508967014087,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Endothelial Progenitor.ACVR1_BMPR2,1.5893823784317269e-28,0.7285419471043375,0.632,0.156,0.5083159686404305,-0.48809527160825245,0.479,0.28600000000000003
LSEC Zone 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.036721322061453295,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,0.002060173214486943,-1.1190781406318004,0.629,0.695,0.5083159686404305,-0.48809527160825245,0.479,0.28600000000000003
LSEC Zone 2&3 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.03965756221645993,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,2.4952106633362924e-11,0.4467426457095598,0.71,0.278,0.5083159686404305,-0.48809527160825245,0.479,0.28600000000000003
LSEC Zone 2&3 2,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.059193405105344404,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Endothelial Progenitor.ACVR1_BMPR2,2.7812369205649525e-14,0.4260634108919956,0.915,0.534,0.5083159686404305,-0.48809527160825245,0.479,0.28600000000000003
LSEC Zone 2&3 3,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.05566332420604238,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Endothelial Progenitor.ACVR1_BMPR2,5.2038931449701296e-17,0.6501631501791474,0.833,0.356,0.5083159686404305,-0.48809527160825245,0.479,0.28600000000000003
Portal Endothelial,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.025636233349666547,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,1.5893823784317269e-28,0.7285419471043375,0.632,0.156,0.046283791774582014,0.15776741236156794,0.387,0.16699999999999998
LSEC Zone 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.026434437466886236,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,0.002060173214486943,-1.1190781406318004,0.629,0.695,0.046283791774582014,0.15776741236156794,0.387,0.16699999999999998
LSEC Zone 2&3 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.028597173542493238,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,2.4952106633362924e-11,0.4467426457095598,0.71,0.278,0.046283791774582014,0.15776741236156794,0.387,0.16699999999999998
LSEC Zone 2&3 2,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.043177969482615014,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,2.7812369205649525e-14,0.4260634108919956,0.915,0.534,0.046283791774582014,0.15776741236156794,0.387,0.16699999999999998
LSEC Zone 2&3 3,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.040518351454797694,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,5.2038931449701296e-17,0.6501631501791474,0.833,0.356,0.046283791774582014,0.15776741236156794,0.387,0.16699999999999998
Endothelial Progenitor,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.013048193068983428,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,0.0027884211107625984,0.360732631768953,0.475,0.143,6.822186020171028e-4,-0.17773226519676932,0.265,0.125
