source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,source.ligand,target.receptor,ligand.pvalues,ligand.logFC,ligand.pct.1,ligand.pct.2,receptor.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2
Portal Endothelial,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.017444111012980844,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Endothelial Progenitor.ACVR1_BMPR2,3.2975026056126175e-54,0.8190758539915172,0.638,0.128,0.08728905967102887,0.16289877837034783,0.544,0.405
LSEC Zone 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.02148113075518304,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,0.22885028473291041,-0.25640809524746855,0.622,0.659,0.08728905967102887,0.16289877837034783,0.544,0.405
LSEC Zone 2&3 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.018814285671312388,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,7.941910740148475e-26,0.8324193766623333,0.721,0.336,0.08728905967102887,0.16289877837034783,0.544,0.405
LSEC Zone 2&3 2,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.038330933664093104,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Endothelial Progenitor.ACVR1_BMPR2,5.903922037143978e-48,1.229513413575137,0.901,0.427,0.08728905967102887,0.16289877837034783,0.544,0.405
LSEC Zone 2&3 3,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.032430158537759254,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Endothelial Progenitor.ACVR1_BMPR2,2.7922119240983317e-41,1.1046377312495315,0.866,0.32,0.08728905967102887,0.16289877837034783,0.544,0.405
Portal Endothelial,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.009311077036982808,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,3.2975026056126175e-54,0.8190758539915172,0.638,0.128,7.408620795143555e-4,0.41388726806528187,0.3945,0.057499999999999996
LSEC Zone 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.011494185560746448,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,0.22885028473291041,-0.25640809524746855,0.622,0.659,7.408620795143555e-4,0.41388726806528187,0.3945,0.057499999999999996
LSEC Zone 2&3 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.010050824111905648,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,7.941910740148475e-26,0.8324193766623333,0.721,0.336,7.408620795143555e-4,0.41388726806528187,0.3945,0.057499999999999996
LSEC Zone 2&3 2,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.02072359442293599,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,5.903922037143978e-48,1.229513413575137,0.901,0.427,7.408620795143555e-4,0.41388726806528187,0.3945,0.057499999999999996
LSEC Zone 2&3 3,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.017469700145055972,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,2.7922119240983317e-41,1.1046377312495315,0.866,0.32,7.408620795143555e-4,0.41388726806528187,0.3945,0.057499999999999996
Portal Endothelial,T/NK Cells,BMP6,ACVR1_BMPR2,0.020435949683504116,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,T/NK Cells.ACVR1_BMPR2,3.2975026056126175e-54,0.8190758539915172,0.638,0.128,1.900143936318856e-7,0.2983426628433271,0.389,0.12
LSEC Zone 1,T/NK Cells,BMP6,ACVR1_BMPR2,0.02517645041549256,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,T/NK Cells.ACVR1_BMPR2,0.22885028473291041,-0.25640809524746855,0.622,0.659,1.900143936318856e-7,0.2983426628433271,0.389,0.12
